station_id,name,num_bicycles_available,last_reported
CAB:Station:cd41563c-0da8-3354-be59-a0331f000943,Erwin-Schoettle-Platz / Matthäuskirche,2,2026-05-24 22:48:45+02
CAB:Station:bbd80e21-3792-3e43-a164-e6bd6f8e4174,Wilhelm-Geiger-Platz / Grazer Str.,8,2026-05-24 22:48:45+02
CAB:Station:343a1191-8708-3ef6-bfbd-8ad2067e55c9,Engelboldtstraße / Ruggerstraße,2,2026-05-24 22:48:45+02
CAB:Station:a7acfe5f-0f74-3c29-a9f8-ab4235cce15f,Bhf. Plieninger Str. / Plieninger Str.,0,2026-05-24 22:48:45+02
CAB:Station:f8674bb7-1b4f-32fb-9b77-601106bb9ef0,U Bhf. Sillenbuch / Kirchheimer Straße,2,2026-05-24 22:48:45+02
CAB:Station:1216b7d2-3c6f-3fe7-8e7e-5261d392ca95,Jugendherberge / Haußmannstr.,12,2026-05-24 22:48:45+02
CAB:Station:37b6b5c1-00a4-3b00-9ee8-44036299423f,Johannesstr. / Schloßstr.,3,2026-05-24 22:48:45+02
CAB:Station:4bfc02f5-ed36-3e45-95b5-43eb7c79a685,Institut für Luft- und Raumfahrttechnik / Pfaffenwaldring,2,2026-05-24 22:48:45+02
CAB:Station:01621e21-11dd-3405-9b47-9732a8b5cb3f,Mercedes-Benz-Museum / Mercedesstr.,1,2026-05-24 22:48:45+02
CAB:Station:400d3a57-0f42-30a9-9943-a0c216419f43,Breitscheidstr. / Bosch-Areal / Liederhalle,28,2026-05-24 22:48:45+02
CAB:Station:4b9c9e04-dd1b-3c3f-b88d-30980ebb4029,Botnang / Kauffmannstr.,0,2026-05-24 22:48:45+02
CAB:Station:52a29ffa-01ca-31b7-962a-30b4375eeb6f,Bhf. Untertürkheim / Arlbergstr.,10,2026-05-24 22:48:45+02
CAB:Station:88d9a4c8-1033-32d8-9dd3-8dc86f4db3dd,Theodor-Heuss-Str. / Friedrichstr.,23,2026-05-24 22:48:45+02
CAB:Station:ad9d30ff-4964-3d94-99aa-cd93b5389bd7,Wagenburgstr. / Talstr.,4,2026-05-24 22:48:45+02
CAB:Station:b77efb4c-133b-3dbd-b888-cecee05e6bd0,Konrad-Adenauer-Str. / Haus der Geschichte,4,2026-05-24 22:48:45+02
CAB:Station:185c8b62-b349-3841-9034-e40de6a8c08d,Bürgerhaus Alte Schule / Tiefenbachstraße,4,2026-05-24 22:48:45+02
CAB:Station:b4e319a5-8095-39b6-8a7c-ef032ca381bb,Südheimer Platz / Böblinger Str.,8,2026-05-24 22:48:45+02
CAB:Station:0494ec42-b04c-360b-8a2f-85d4a9d72247,Johann-Sebastian-Bach-Platz / Hasenbergstraße,5,2026-05-24 22:48:45+02
