station_id,name,num_bicycles_available,last_reported
NBV:Station:27231009,Neckarau - Friedrichstraße,14,2026-05-24 22:50:45+02
NBV:Station:378595742,Feudenheim - Endstelle / Odenwald Straße,16,2026-05-24 22:50:45+02
NBV:Station:339472,A5 - Universität West,3,2026-05-24 22:50:45+02
NBV:Station:28450544,Schwetzingerstadt - Krappmühlstraße,4,2026-05-24 22:50:45+02
NBV:Station:11272337,Wredestraße,11,2026-05-24 22:50:45+02
NBV:Station:58196617,Lindenhof / NTR,2,2026-05-24 22:50:45+02
NBV:Station:11272269,Schwanthalerplatz,5,2026-05-24 22:50:45+02
NBV:Station:660971,Neckarau - Hans-Sachs-Ring,33,2026-05-24 22:50:45+02
NBV:Station:30612250,U3 – Herschelbad,10,2026-05-24 22:50:45+02
NBV:Station:1557693,Lindenhof - Johanniskirche,7,2026-05-24 22:50:45+02
NBV:Station:339464,E4 - Rathaus,2,2026-05-24 22:50:45+02
NBV:Station:660999,Hemshof - BASF Süd,2,2026-05-24 22:50:45+02
NBV:Station:28450242,Lindenhof - Hanns-Glückstein-Park ,9,2026-05-24 22:50:45+02
NBV:Station:28450681,Neckarstadt-Ost  - Clignetplatz,18,2026-05-24 22:50:45+02
NBV:Station:31471276,R5,7,2026-05-24 22:50:45+02
NBV:Station:33282236,Eastsite,1,2026-05-24 22:50:45+02
NBV:Station:339456,Gewerkschaftshaus,6,2026-05-24 22:50:45+02
NBV:Station:660939,Neckarau - Markuskirche,8,2026-05-24 22:50:45+02
NBV:Station:29964359,Am Plankenkopf,1,2026-05-24 22:50:45+02
NBV:Station:30612064,Lindenhof - Meeräckerplatz,5,2026-05-24 22:50:45+02
NBV:Station:339459,Nationaltheater,2,2026-05-24 22:50:45+02
NBV:Station:661021,LU Süd - Schützenplatz,8,2026-05-24 22:50:45+02
NBV:Station:30612162,Neuostheim – Dürerstraße,4,2026-05-24 22:50:45+02
NBV:Station:33282690,Niederfeld - Diakonissen-Krankenhaus,2,2026-05-24 22:50:45+02
NBV:Station:660943,Schwetzingerstadt - rnv Betriebshof Möhlstraße,3,2026-05-24 22:50:45+02
NBV:Station:260511069,Waldhof -  Gartenstadt / Freilichtbühne,1,2026-05-24 22:50:45+02
NBV:Station:30612264,B3 – Schillerplatz,1,2026-05-24 22:50:45+02
NBV:Station:30612203,Jungbusch - Beilstraße,4,2026-05-24 22:50:45+02
