vehicle_id,feed_id,last_reported,geometry
DOG:Vehicle:f0502d58-5bbe-4133-9cbc-9b80d8b4c101,dott_mannheim,2026-05-21 15:26:21+02,POINT (8.441095 49.474893)
DOG:Vehicle:5cb2a5d4-5120-469f-93ea-71a40875e4c6,dott_mannheim,2026-05-21 15:26:25+02,POINT (8.520774 49.512716)
DOG:Vehicle:6dddcbd7-a964-4958-a275-b4e693a9f782,dott_mannheim,2026-05-21 15:26:26+02,POINT (8.455677 49.475235)
DOG:Vehicle:61e1aea3-c9e5-404e-86a8-23cd93e8f98e,dott_mannheim,2026-05-21 15:26:30+02,POINT (8.476898 49.488513)
DOG:Vehicle:2334fb9b-cb42-4fae-b2ae-3926a649e2ef,dott_mannheim,2026-05-21 15:26:32+02,POINT (8.504644 49.521875)
DOG:Vehicle:7097584f-22ed-4bd0-b2d5-3734d550614e,dott_mannheim,2026-05-21 15:26:46+02,POINT (8.548615 49.465787)
DOG:Vehicle:0a1c145c-aefb-4813-b461-0c8a31b5ffd4,dott_mannheim,2026-05-21 15:26:52+02,POINT (8.477586 49.460494)
DOG:Vehicle:c732b63c-f665-4495-8cee-2d2a7af67ead,dott_mannheim,2026-05-21 15:27:05+02,POINT (8.469465 49.500068)
DOG:Vehicle:c7c20b57-d94d-46ff-b256-0af47009d03d,dott_mannheim,2026-05-21 15:27:16+02,POINT (8.457843 49.497302)
DOG:Vehicle:cc2f42e3-406f-4f09-be3c-e1d1ca4837f7,dott_mannheim,2026-05-21 15:27:32+02,POINT (8.484024 49.489502)
DOG:Vehicle:2509a2a6-2688-43da-81d9-bf58944a4a9e,dott_mannheim,2026-05-21 15:27:35+02,POINT (8.490298 49.450455)
DOG:Vehicle:507c6c25-adca-4415-9f4b-6430c8ac0c3c,dott_mannheim,2026-05-21 15:27:43+02,POINT (8.487617 49.522488)
DOG:Vehicle:4c38a92d-1f33-41d3-aafd-c0f274090056,dott_mannheim,2026-05-21 15:27:55+02,POINT (8.456051 49.469574)
DOG:Vehicle:4bf35dbe-2daf-4d7c-b86c-dbb529c58e50,dott_mannheim,2026-05-21 15:27:56+02,POINT (8.463419 49.504391)
DOG:Vehicle:a261c86f-03dd-4696-9cc7-027fe545b0f4,dott_mannheim,2026-05-21 15:28:02+02,POINT (8.465852 49.486792)
DOG:Vehicle:7932f3d1-c2fb-4788-9d25-26efec8aab89,dott_mannheim,2026-05-21 15:28:09+02,POINT (8.479779 49.455726)
DOG:Vehicle:84a7afe7-c736-4ce1-b6b7-d31f5d8e8d4e,dott_mannheim,2026-05-21 15:28:14+02,POINT (8.483756 49.524389)
DOG:Vehicle:c7414d94-53a6-4ab2-a1ce-429d32f1f1f4,dott_mannheim,2026-05-21 15:28:20+02,POINT (8.49566 49.476643)
DOG:Vehicle:35365eed-3631-4a28-a887-931bb732c9f2,dott_mannheim,2026-05-21 15:28:32+02,POINT (8.470856 49.508686)
DOG:Vehicle:f85939d0-ce11-4f3f-8915-3ff6bc489446,dott_mannheim,2026-05-21 15:28:32+02,POINT (8.481395 49.460492)
DOG:Vehicle:e058247d-bffc-4eab-b7c1-ed7d7ea404a1,dott_mannheim,2026-05-21 15:28:35+02,POINT (8.468545 49.509602)
DOG:Vehicle:1427eefa-6c49-4a3e-99ea-68a4a2da148e,dott_mannheim,2026-05-21 15:28:44+02,POINT (8.477114 49.481282)
DOG:Vehicle:f6960778-64cf-4038-85b5-fbb7c75a2184,dott_mannheim,2026-05-21 15:28:47+02,POINT (8.497475 49.497749)
DOG:Vehicle:151f38e2-c318-4066-ac14-81e9009c1772,dott_mannheim,2026-05-21 15:28:54+02,POINT (8.525992 49.510961)
